Eval_ID,Q_c,Q_l,R_u,mu,R_T,Z_l,z_l,Mean_Reward,Min_Reward,Success_Rate,Mean_Time,TR_Length
75,1.0,1.0,1000.0,0.1,1.0,316227.7660168379,6599.090919553616,546.9879737051924,102.30789630603643,0.5,14.655000000000001,0.4
76,220.24428496360773,1.0,1000.0,0.1,1.0,316227.7660168379,6514.037480254879,983.3849999999999,982.8,1.0,16.615000000000002,0.4
77,1.0,1.0,1000.0,0.1,1.0,316227.7660168379,5693.970189097434,311.15247494742584,78.14645758421175,0.25,10.830000000000002,0.4
78,1.0,1.0,1000.0,0.1,1.0,316227.7660168379,6200.481689795944,317.45835997684026,52.5927523014705,0.25,11.395000000000001,0.4
79,1.0,1.0,1000.0,0.1,1.0,316227.7660168379,6488.3239306878195,764.5361724837328,97.92468993493135,0.75,13.305,0.4
80,1.0,1.0,1000.0,0.1,1.0,316227.7660168379,6139.819585158086,987.4,984.7,1.0,12.6,0.4
81,1.0,1.0,1000.0,0.1,1.0,316227.7660168379,5204.432164518812,760.4930623892221,77.83224955688826,0.75,11.825,0.4
82,1.0,1.0,1000.0,0.1,1.0,316227.7660168379,4566.1050255479995,311.23830323613026,25.255457489179165,0.25,10.31,0.4
83,1.0,1.0,1000.0,0.1,1.0,316227.7660168379,5433.795441300051,304.96751584152656,45.652030120111505,0.25,10.655000000000001,0.4
84,1.0,1.0,1000.0,0.1,1.0,316227.7660168379,5921.284062669058,538.6397503016263,73.86495987000005,0.5,11.540000000000001,0.4
85,1.0,1.0,1000.0,0.1,1.0,316227.7660168379,5919.759423098155,533.4362463656364,51.94134069829243,0.5,12.84,0.4
86,1.0,1.0,1000.0,0.1,1.0,316227.7660168379,5926.974622892827,313.2869086634964,51.92318029345684,0.25,11.95,0.4
87,1.0,1.0,1000.0,0.1,1.0,316227.7660168379,6167.001676803811,770.6017182500884,116.80687300035378,0.75,13.04,0.2
88,1.0,1.0,1000.0,0.1,1.0,316227.7660168379,5942.36964783151,768.8098091211663,116.39923648466515,0.75,13.915000000000001,0.2
89,1.0,1.0,1000.0,0.1,1.0,316227.7660168379,5664.651035110135,537.9596596689928,80.36985503856057,0.5,11.86,0.2
90,1.0,1.0,1000.0,0.1,1.0,316227.7660168379,5687.250142633913,526.0312745754488,55.163556085684334,0.5,11.940000000000001,0.2
91,1.0,1.0,1000.0,0.1,1.0,316227.7660168379,5723.105525331824,752.2611664183546,45.22466567341862,0.75,10.315,0.2
92,1.0,1.0,1000.0,0.1,1.0,316227.7660168379,5460.156294472997,533.0438674639832,45.059838462257865,0.5,11.219999999999999,0.2
93,1.0,1.0,1000.0,0.1,1.0,316227.7660168379,5504.723021620604,530.4221715678665,47.53904319747817,0.5,10.895,0.2
94,1.0,1.0,1000.0,0.1,1.0,316227.7660168379,5547.777487424106,768.1751676745663,114.30067069826495,0.75,13.84,0.1
95,1.0,1.0,1000.0,0.1,1.0,316227.7660168379,5253.458971816235,759.8059772316205,81.94390892648194,0.75,13.75,0.1
96,1.0,1.0,1000.0,0.1,1.0,316227.7660168379,4920.26852344199,79.98434825419416,31.68672716200305,0.0,10.98,0.1
97,1.0,1.0,1000.0,0.1,1.0,316227.7660168379,5792.305112669955,319.9157968544072,77.37700629109719,0.25,11.895,0.1
98,1.0,1.0,1000.0,0.1,1.0,316227.7660168379,5950.351185647101,768.3428176191045,114.39127047641792,0.75,13.809999999999999,0.1
99,1.0,1.0,1000.0,0.1,1.0,316227.7660168379,5821.438623243421,543.9591246919126,98.08805303073493,0.5,13.29,0.1
100,1.0,1.0,1000.0,0.1,1.0,316227.7660168379,5844.54015491358,987.9649999999999,985.42,1.0,12.035,0.1
101,1.0,1.0,1000.0,0.1,1.0,316227.7660168379,5461.1131849344965,986.745,984.26,1.0,13.255,0.1
102,1.0,1.0,1000.0,0.1,1.0,316227.7660168379,4876.5465082010705,326.26967676621166,97.36101932304265,0.25,12.325,0.1
103,1.0,1.0,1000.0,0.1,1.0,316227.7660168379,5355.638372642361,318.5652824373901,74.80575617129405,0.25,10.865,0.1
104,1.0,1.0,1000.0,0.1,1.0,316227.7660168379,5631.481215700602,524.3421065545938,43.97070298898181,0.5,9.939999999999998,0.1
105,1.0,1.0,1000.0,0.1,1.0,316227.7660168379,5685.399237314423,331.83239294298176,111.78071085137947,0.25,14.535,0.1
106,1.0,1.0,1000.0,0.1,1.0,316227.7660168379,5821.7360694415565,546.0710533379468,101.32064704187727,0.5,13.82,0.1
107,1.0,1.0,1000.0,0.1,1.0,316227.7660168379,5858.634265158574,322.06044888832315,76.627659042973,0.25,13.445,0.05
108,1.0,1.0,1000.0,0.1,1.0,316227.7660168379,5945.51543224589,769.0609456491661,111.64378259666455,0.75,11.32,0.05
109,1.0,1.0,1000.0,0.1,1.0,316227.7660168379,5873.890170072741,310.84718902864984,45.1713298606408,0.25,9.805,0.05
110,1.0,1.0,1000.0,0.1,1.0,316227.7660168379,5955.626574603441,533.1778083162079,44.51675579076391,0.5,10.19,0.05
111,1.0,1.0,1000.0,0.1,1.0,316227.7660168379,5983.752936715481,550.7106647742545,112.02856258417717,0.5,12.344999999999999,0.05
112,1.0,1.0,1000.0,0.1,1.0,316227.7660168379,6007.102044573155,330.15433340706113,99.73706696455857,0.25,12.504999999999999,0.05
113,1.0,1.0,1000.0,0.1,1.0,316227.7660168379,6047.816379565552,327.4935755578412,103.2690387472285,0.25,11.71,0.05
114,1.0,1.0,1000.0,0.1,1.0,316227.7660168379,6080.978645615408,753.7937815356809,50.275126142723536,0.75,10.825,0.025
115,1.0,1.0,1000.0,0.1,1.0,316227.7660168379,6050.482063355975,315.5934368718108,44.965732270377,0.25,11.73,0.025
116,1.0,1.0,1000.0,0.1,1.0,316227.7660168379,6080.7965694145205,536.0380721326201,46.14547049999776,0.5,11.025,0.025
117,1.0,1.0,1000.0,0.1,1.0,316227.7660168379,6100.954446131765,546.589450292951,96.29703632127078,0.5,11.44,0.025
118,1.0,1.0,1000.0,0.1,1.0,316227.7660168379,6122.150435928311,768.4639974440735,118.25598977629394,0.75,14.96,0.025
119,1.0,1.0,1000.0,0.1,1.0,316227.7660168379,6102.026124669829,544.6471821778294,98.73443162239974,0.5,10.49,0.025
120,1.0,1.0,1000.0,0.1,1.0,316227.7660168379,6121.5406314174425,316.58907085626294,78.32014307607939,0.25,12.425,0.025
121,1.0,1.0,1000.0,0.1,1.0,316227.7660168379,6131.334214129409,752.3472233829588,46.968893531834794,0.75,10.934999999999999,0.0125
122,1.0,1.0,1000.0,0.1,1.0,316227.7660168379,6119.99989100244,544.041321524435,95.96732289866239,0.5,13.35,0.0125
123,1.0,1.0,1000.0,0.1,1.0,316227.7660168379,6141.606517140143,759.1518418714319,78.26736748572733,0.75,12.674999999999999,0.0125
124,1.0,1.0,1000.0,0.1,1.0,316227.7660168379,6133.047812214831,535.0899240233567,52.11250004774042,0.5,11.9,0.0125
125,1.0,1.0,1000.0,0.1,1.0,316227.7660168379,6158.843084593526,549.7230960912628,106.49067027727739,0.5,11.46,0.0125
126,1.0,1.0,1000.0,0.1,1.0,316227.7660168379,6180.855470979247,307.58044788234054,27.723178035011454,0.25,11.385000000000002,0.0125
127,1.0,1.0,1000.0,0.1,1.0,316227.7660168379,6158.782837928454,768.8106121229765,111.38244849190595,0.75,12.41,0.0125
128,1.0,1.0,1000.0,0.1,1.0,316227.7660168379,6159.598372032737,326.59631973447307,94.85938164147507,0.25,11.184999999999999,0.00625
129,489.8220079243183,1681.04546803236,131.9244485795498,5.704513341188431,35.05845296382904,38.19462713441081,158.5643873561512,18.292443423587766,-17.603683867625396,0.0,1.455,0.8
130,1.0,1.0,1000.0,0.1,1.0,316227.7660168379,6013.858636111153,771.1325556763425,115.0502227053696,0.75,11.325000000000001,0.8
131,1.0,1.0,1000.0,0.1,1.0,316227.7660168379,5966.587771531416,325.79575184445184,95.65902863049486,0.25,13.18,0.8
132,1.0,1.0,1000.0,0.1,1.0,316227.7660168379,6013.059159155868,322.6417315302947,73.71193879891212,0.25,14.645000000000001,0.8
133,1.0,1.0,1000.0,0.1,1.0,316227.7660168379,6050.417689906503,109.57124577127425,100.64639041352709,0.0,14.285,0.8
134,1.0,1.0,1000.0,0.1,1.0,316227.7660168379,6052.436627864115,323.7839777901904,97.68967743937084,0.25,11.595,0.8
135,1.0,1.0,1000.0,0.1,1.0,316227.7660168379,6086.214777150199,538.0965451608648,85.14391019425008,0.5,12.905,0.8
136,1.0,1.0,1000.0,0.1,1.0,316227.7660168379,6101.390172328087,551.6782308379973,111.65353113165827,0.5,11.135,0.4
137,1.0,1.0,1000.0,0.1,1.0,316227.7660168379,6115.4375383009965,770.3919534278497,119.80781371139862,0.75,14.475,0.4
138,1.0,1.0,1000.0,0.1,1.0,316227.7660168379,6091.009315715461,327.2541420672031,93.04324811719623,0.25,11.835,0.4
139,1.0,1.0,1000.0,0.1,1.0,316227.7660168379,6108.432643508634,331.11791630989524,103.72032880597527,0.25,14.005,0.4
140,1.0,1.0,1000.0,0.1,1.0,316227.7660168379,6130.262251970686,985.6700000000001,984.3,1.0,14.329999999999998,0.4
141,1.0,1.0,1000.0,0.1,1.0,316227.7660168379,6035.540776835199,538.9334126016861,79.3799815240107,0.5,10.94,0.4
142,1.0,1.0,1000.0,0.1,1.0,316227.7660168379,6049.310228475504,290.9533328974653,30.392027047894015,0.25,9.365,0.4
143,1.0,1.0,1000.0,0.1,1.0,316227.7660168379,6080.595804413673,542.1247956072342,97.04059522963557,0.5,12.015,0.2
144,1.0,1.0,1000.0,0.1,1.0,316227.7660168379,6096.173874961236,524.5615639841668,45.37677360264466,0.5,12.775,0.2
145,1.0,1.0,1000.0,0.1,1.0,316227.7660168379,6108.185689962463,543.9599635400765,98.6921036471899,0.5,13.08,0.2
146,1.0,1.0,1000.0,0.1,1.0,316227.7660168379,6125.198696377271,759.3622383729651,85.02895349186021,0.75,15.89,0.2
147,1.0,1.0,1000.0,0.1,1.0,316227.7660168379,6109.493892087523,530.6340753518461,49.08886522088824,0.5,11.25,0.2
148,1.0,1.0,1000.0,0.1,1.0,316227.7660168379,6124.838997188646,547.1052887688379,97.76541656732945,0.5,12.299999999999999,0.2
149,1.0,1.0,1000.0,0.1,1.0,316227.7660168379,6141.275445846837,987.4850000000001,986.0,1.0,12.515,0.2
150,1.0,1.0,1000.0,0.1,1.0,316227.7660168379,6065.545934842386,541.0242892135394,78.25833455410715,0.5,13.625,0.1
151,1.0,1.0,1000.0,0.1,1.0,316227.7660168379,6081.456683218851,329.46642940624815,106.80824576420666,0.25,12.299999999999999,0.1
152,1.0,1.0,1000.0,0.1,1.0,316227.7660168379,6101.021368936133,300.8615795892977,50.86713839987689,0.25,12.879999999999999,0.1
153,1.0,1.0,1000.0,0.1,1.0,316227.7660168379,6113.150469961362,767.8132000661685,114.57280026467393,0.75,13.86,0.1
154,1.0,1.0,1000.0,0.1,1.0,316227.7660168379,6094.85919943238,308.036657476658,46.67231700047724,0.25,9.92,0.1
155,1.0,1.0,1000.0,0.1,1.0,316227.7660168379,6106.32467333531,549.8662647389071,105.47036703963599,0.5,13.45,0.1
156,1.0,1.0,1000.0,0.1,1.0,316227.7660168379,6123.988960808772,318.80278265132836,75.36404196837633,0.25,13.264999999999999,0.1
157,1.0,1.0,1000.0,0.1,1.0,316227.7660168379,6129.655321462649,319.8230684520558,80.32750950322914,0.25,11.814999999999998,0.05
158,1.0,1.0,1000.0,0.1,1.0,316227.7660168379,6139.4094589715005,764.5661120130504,97.16444805220196,0.75,12.219999999999999,0.05
159,1.0,1.0,1000.0,0.1,1.0,316227.7660168379,6126.701752447434,320.7087059992182,96.5234446808202,0.25,10.549999999999999,0.05
160,1.0,1.0,1000.0,0.1,1.0,316227.7660168379,6136.562632983459,306.36904581827014,26.919767500642,0.25,10.01,0.05
161,1.0,1.0,1000.0,0.1,1.0,316227.7660168379,6143.620286219471,547.9147452610957,103.07753931102867,0.5,11.434999999999999,0.05
162,1.0,1.0,1000.0,0.1,1.0,316227.7660168379,6155.667361495103,767.6721714903802,109.38868596152042,0.75,12.685,0.05
163,1.0,1.0,1000.0,0.1,1.0,316227.7660168379,6147.984641736814,768.0988409995322,113.75536399812866,0.75,13.59,0.05
164,1.0,1.0,1000.0,0.1,1.0,316227.7660168379,6138.535451970207,545.9340633378849,97.67244977009778,0.5,11.799999999999999,0.025
165,1.0,1.0,1000.0,0.1,1.0,316227.7660168379,6149.841318719817,541.2973328182326,96.30319862334342,0.5,12.49,0.025
166,1.0,1.0,1000.0,0.1,1.0,316227.7660168379,6168.495756930193,302.06189620748086,51.54426413724911,0.25,10.2,0.025
167,1.0,1.0,1000.0,0.1,1.0,316227.7660168379,6160.609364837842,311.01916335607945,80.32214846797056,0.25,13.315000000000001,0.025
168,1.0,1.0,1000.0,0.1,1.0,316227.7660168379,6161.811095729661,552.057800928876,114.35550292020102,0.5,12.025,0.025
169,1.0,1.0,1000.0,0.1,1.0,316227.7660168379,6174.87705263063,767.9708438124923,116.34337524996899,0.75,14.975000000000001,0.025
170,1.0,1.0,1000.0,0.1,1.0,316227.7660168379,6173.811782986624,94.88996560926998,48.20641878507414,0.0,12.579999999999998,0.025
171,1.0,1.0,1000.0,0.1,1.0,316227.7660168379,6124.718968967022,769.6595525432283,112.0582101729134,0.75,11.51,0.0125
172,1.0,1.0,1000.0,0.1,1.0,316227.7660168379,6106.913940864346,759.7652036378603,75.80081455144128,0.75,11.815000000000001,0.0125
173,1.0,1.0,1000.0,0.1,1.0,316227.7660168379,6088.503980039707,330.5510319644803,103.55538867209944,0.25,15.925,0.0125
