Eval_ID,Q_c,Q_l,R_u,mu,R_T,Z_l,z_l,Mean_Reward,Min_Reward,Success_Rate,Mean_Time,TR_Length
29,221.7106170777781,145.8796619229913,534.5270555455935,1.3518017856665872,327.1296895565168,15482.280601118971,10.0,20.0,0.47346118768524087,27.583427914817104,30.60635659124765,23.359895366701462,0.0,2.465,0.4
30,461.31061707777815,385.4796619229913,934.1270555455936,1.3518017856665872,327.1296895565168,530.0596245201777,10.0,20.0,0.47346118768524087,27.583427914817104,34.845728056472865,24.242798255361446,0.0,3.59,0.4
31,461.31061707777815,145.8796619229913,534.5270555455935,0.1,561.7690284724765,530.0596245201777,10.0,20.0,0.07746118768524082,27.583427914817104,51.0109318601804,27.899475632409967,0.0,10.427499999999998,0.4
32,221.7106170777781,145.8796619229913,934.1270555455936,1.3518017856665872,327.1296895565168,530.0596245201777,10.0,20.0,0.07746118768524082,27.583427914817104,34.80352606738774,22.24349372989096,0.0,3.5175,0.4
33,327.88017574714974,145.8796619229913,934.1270555455936,1.3518017856665872,566.7296895565167,33444.50131034202,10.0,20.0,0.47346118768524087,27.583427914817104,49.34931645794401,23.892926230599613,0.0,4.7975,0.4
34,221.7106170777781,145.8796619229913,934.1270555455936,0.22810811204602005,566.7296895565167,33444.50131034202,10.0,20.0,0.47346118768524087,27.583427914817104,36.40748498280497,26.130731083043546,0.0,7.3549999999999995,0.4
35,461.31061707777815,145.8796619229913,934.1270555455936,1.3518017856665872,327.1296895565168,6865.58883270218,10.0,20.0,0.47346118768524087,27.583427914817104,163.62207209909357,24.748746272311458,0.125,4.9325,0.4
36,581.1106170777781,26.07966192299129,1000.0,2.3318017856665874,207.32968955651674,6383.149461657168,10.70150010470021,20.0,0.6714611876852409,9.009121412234617,155.93568987893516,23.67138710304669,0.125,3.335,0.4
37,581.1106170777781,26.07966192299129,1000.0,2.3318017856665874,207.32968955651674,7571.624126939409,10.0,20.0,0.27546118768524086,7.783427914817103,36.26172503029531,23.39519150274874,0.0,2.855,0.4
38,539.615722633742,183.9160027993841,997.3254784222347,2.3318017856665874,207.32968955651674,8235.043713308844,11.71401873393978,35.55070920990918,0.5958413543770698,37.167156368970815,50.503744594480885,23.34402165056535,0.0,3.7824999999999998,0.4
39,581.1106170777781,26.07966192299129,1000.0,0.37180178566658684,446.92968955651673,3373.40563451029,50.11872336272725,20.0,0.6714611876852409,7.783427914817103,40.19371691121708,24.28001964064185,0.0,6.99,0.4
40,581.1106170777781,26.07966192299129,1000.0,0.37180178566658684,207.32968955651674,864.326424841902,10.0,20.0,0.6714611876852409,7.783427914817103,162.10652859618202,26.00648179670146,0.125,7.692500000000001,0.4
41,346.966228781733,265.67966192299133,747.5657046232114,0.37180178566658684,446.92968955651673,4086.936346397291,10.0,91.60552879241523,0.28806010594915377,47.28349916474038,40.84757010598689,24.864969202057598,0.0,6.495000000000001,0.4
42,581.1106170777781,26.07966192299129,734.3270555455937,0.37180178566658684,207.32968955651674,864.326424841902,10.0,20.0,0.6714611876852409,7.783427914817103,34.53728573373227,25.098259583964285,0.0,4.859999999999999,0.4
43,516.4711656378196,106.54371351063546,934.4097712180678,1.5306326490385493,297.3832174723869,8646.057102228237,10.0,20.0,0.5064314219789727,25.729189900225563,156.37420055027218,23.378303020755578,0.125,4.0600000000000005,0.4
44,555.5859227168922,53.96720495168941,985.5633192506793,0.6737950641772866,207.32968955651674,1476.5699453703664,10.0,20.0,0.6625268602152737,12.119162128560546,35.56812105749425,24.484051594930005,0.0,4.8425,0.4
45,581.1106170777781,26.07966192299129,1000.0,2.3318017856665874,207.32968955651674,54535.310578230674,10.0,20.0,0.6714611876852409,7.783427914817103,33.21804000734938,23.069252701110806,0.0,2.6825,0.2
46,521.2106170777781,205.7796619229913,1000.0,1.8418017856665874,267.22968955651675,6486.6021077855,10.0,20.0,0.5724611876852409,17.683427914817102,43.88762951048109,25.535334083071568,0.0,3.8274999999999997,0.2
47,521.2106170777781,85.97966192299128,1000.0,1.8418017856665874,267.22968955651675,2436.002842815249,10.0,20.0,0.5724611876852409,37.4834279148171,34.641690125999936,22.260018430350666,0.0,3.095,0.2
48,521.2106170777781,85.97966192299128,1000.0,1.8418017856665874,267.22968955651675,2436.002842815249,10.0,20.0,0.5724611876852409,17.683427914817102,34.355793999059664,23.90724968894554,0.0,3.1275,0.2
49,521.2106170777781,85.97966192299128,1000.0,1.8418017856665874,267.22968955651675,2436.002842815249,10.0,20.0,0.5724611876852409,37.4834279148171,44.576730913977684,23.580681366194895,0.0,3.8225,0.2
50,521.2106170777781,85.97966192299128,1000.0,1.8418017856665874,267.22968955651675,2436.002842815249,10.0,68.0,0.5724611876852409,17.683427914817102,41.25091075777689,23.200649193461437,0.0,3.4400000000000004,0.2
51,521.2106170777781,85.97966192299128,1000.0,1.8418017856665874,267.22968955651675,19349.85837916764,10.0,20.0,0.5724611876852409,37.4834279148171,39.91359651017532,23.836633530664127,0.0,3.55,0.2
52,521.2106170777781,205.7796619229913,1000.0,1.8418017856665874,267.22968955651675,2436.002842815249,10.0,68.0,0.5724611876852409,17.683427914817102,34.06009408679626,22.025237497456654,0.0,3.0374999999999996,0.2
53,521.2106170777781,85.97966192299128,1000.0,0.8618017856665869,267.22968955651675,19349.85837916764,10.0,20.0,0.5724611876852409,37.4834279148171,44.1587138669872,26.90647924702286,0.0,5.640000000000001,0.2
54,521.2106170777781,85.97966192299128,1000.0,1.8418017856665874,267.22968955651675,2436.002842815249,10.0,68.0,0.5724611876852409,17.683427914817102,41.85945214245798,23.63031510390669,0.0,3.555,0.2
