t,roll_cmd,pitch_cmd,yaw_cmd,thrust_cmd,a_theta
1.06,0.5959110965205393,-0.15676679641799748,0.0,0.3690482600327344,0.010000000000000864
1.08,0.6549154150619563,-0.16894399368810897,0.0,0.3590275991930849,0.010000000000000689
1.1,0.6857159934184673,-0.15625236717270138,0.0,0.37582904205759493,0.010000000000000599
1.12,0.7324135792583566,-0.1638803324766771,0.0,0.38060356704878306,0.010000000000000373
1.1400000000000001,0.689893751054789,-0.12713218083741162,0.0,0.39376274449569787,0.010000000000000186
1.16,0.6640204723699201,-0.08734781783702936,0.0,0.3913875495307181,0.010000000000000125
1.18,0.6662869400678936,-0.07086184398975874,0.0,0.392118641297925,0.010000000000000097
1.2,0.6641060191551165,-0.0714062081485035,0.0,0.38372855207142575,0.010000000000000083
1.22,0.5856389148234799,-0.045168060462198,0.0,0.38900181703748343,0.010000000000000078
1.24,0.498224182537216,-0.04843870344563741,0.0,0.37012846596435217,0.01000000007365443
1.26,0.35214589070742386,-0.03860295143199423,0.0,0.3851803615474423,0.01000006907943984
1.28,0.23597028724082886,-0.027988329791240326,0.0,0.36087234940095386,0.010000079347105896
1.3,0.1282852860408569,-0.018496763071087698,0.0,0.375470713586594,0.010002485455305837
1.32,0.03352195616723165,-0.12167950953345821,0.0,0.3353412117220886,0.012739027525174291
1.34,0.12772602179325843,-0.3038503353008039,0.0,0.39433574865702686,0.010000000000000288
1.36,-0.14989272202523124,-0.054256830793115496,0.0,0.38376767710830495,0.010000000000011527
1.3800000000000001,-0.29480467583631276,-0.09181586696554367,0.0,0.39672983104508114,0.01000001535044241
1.4000000000000001,-0.5335163104348977,-0.07411121499242264,0.0,0.4462643514344436,0.010000175997107312
1.42,-0.5551780415713701,-0.1263706010269393,0.0,0.4786758341171421,0.010000000000001293
1.44,-0.728713053125267,0.05295391762691998,0.0,0.5301236016670501,0.01000000000000142
1.46,-0.9780824877663344,-0.14054116978102107,0.0,0.7155484348893204,0.01000000000000032
1.48,-1.0433071585596765,-0.0742544312201929,0.0,0.6807574725854737,0.010000000000000323
1.5,-1.0335847516945287,-0.020167759865791043,0.0,0.7538495550343485,0.01002277684058063
1.52,-0.9816587059961409,0.04745504507556905,0.0,0.7717302973702579,0.010000000002111832
1.54,-0.9650822638277737,0.06356370582682244,0.0,0.7870984490335353,0.010140245255068061
1.56,-0.9131133487188117,0.06198382341544012,0.0,0.7997064933322148,0.010000348399735765
1.58,-0.8510780998343053,0.050147256167197736,0.0,0.7999999992940896,0.010000000000687397
1.6,-0.7226557989175347,0.04378730636976807,0.0,0.7999999999999986,0.01000000000000058
1.62,-0.5672730186944305,0.0629512148969444,0.0,0.7999999999999984,0.01000000000000063
1.6400000000000001,-0.4199068805402404,0.10277486638550742,0.0,0.7999999999999976,0.010000000000000675
1.6600000000000001,-0.3117395515954593,0.09211124140433864,0.0,0.7999992103180248,0.010000000001060529
1.68,-0.30631682200096344,0.005986308874127419,0.0,0.7987521473900469,0.010000000002225106
1.7,0.5994461871595614,-0.21636571509458385,0.0,0.0854505226215001,0.010000000000002092
1.72,-0.28838640329617504,-0.05073308092101314,0.0,0.6483211881605492,0.010000000000000602
1.74,0.3780298517194912,0.7747010363860225,0.0,0.08545052262149999,0.010000000000000306
1.76,-0.7568879636793014,1.252751469298602,0.0,0.08545052262150028,0.010000000000000247
1.78,-0.25394775109029477,0.7512591985053595,0.0,0.08545052262150062,0.010000000000000774
1.8,1.0606671786455153,1.9949065984505219,0.0,0.08545052262150016,0.010000000000001102
1.82,1.9280310855053124,1.0355766670483804,0.0,0.08545052305302954,0.010000002694321844
1.84,1.9999999999999658,1.9999999999996936,0.0,0.08545052262150081,0.010000000000003936
1.86,1.999999999939823,0.7711872141763583,0.0,0.08545052262526247,0.010000000017921092
1.8800000000000001,1.9999999999999996,1.9999999999999996,0.0,0.0854505226215,0.010000000000000179
1.9000000000000001,1.9999999999999998,1.9999999999999962,0.0,0.08545052262150002,0.0100000000000002
1.92,1.9999999999999991,1.9999999999999953,0.0,0.1654169087729419,0.010000000000001381
